latitude,longitude,time
-37.2913,145.1518,371.0
-37.3136,145.1574,501.0
-37.4118,145.2077,334.0
-37.4474,145.2132,316.0
-37.2823,145.2412,284.0
-37.4118,145.2412,358.0
-37.3225,145.2467,297.0
-37.3091,145.2523,389.0
-37.2734,145.2747,528.0
-37.2868,145.2803,356.0
-37.3136,145.2803,389.0
-37.4697,145.2803,327.0
-37.2734,145.2914,445.0
-37.3136,145.297,391.0
-37.26,145.3026,502.0
-37.4786,145.3026,335.0
-37.385,145.3082,355.0
-37.4207,145.3138,373.0
-37.4652,145.3138,387.0
-37.4118,145.3305,261.0
-37.443,145.3417,201.0
-37.4341,145.3528,328.0
-37.4474,145.3863,353.0
-37.7666,145.498,54.0
-37.9999,145.5148,215.0
-37.7446,145.5259,123.0
-37.8284,145.5315,176.0
-37.7534,145.5483,187.0
-37.912,145.5762,442.0
-37.7269,145.5818,160.0
-37.9208,145.6041,469.0
-37.8548,145.6097,483.0
-37.868,145.6376,196.0
-37.718,145.6488,431.0
-37.9604,145.6488,448.0
-37.9691,145.6488,373.0
-37.7401,145.6711,408.0
-37.956,145.6767,480.0
-37.5852,145.6823,565.0
-37.9735,145.6823,493.0
-37.9252,145.6879,376.0
-37.8019,145.6935,186.0
-37.6915,145.699,424.0
-37.7136,145.699,227.0
-36.9364,145.7214,589.0
-37.7887,145.727,330.0
-37.9516,145.727,521.0
-37.7357,145.7325,439.0
-36.9319,145.7437,639.0
-37.7092,145.7437,481.0
-37.8856,145.7493,517.0
-36.8957,145.7605,683.0
-37.824,145.7661,535.0
-37.8108,145.7716,387.0
-37.8988,145.7716,533.0
-37.7755,145.7772,501.0
-37.6428,145.794,469.0
-37.8592,145.794,375.0
-37.8724,145.794,374.0
-37.9032,145.794,526.0
-37.7799,145.7996,376.0
-37.956,145.7996,493.0
-37.4608,145.8051,522.0
-37.6517,145.8107,467.0
-37.8504,145.8163,474.0
-37.9867,145.8163,475.0
-37.6473,145.8331,443.0
-36.846,145.8386,706.0
-37.8108,145.8386,501.0
-37.8592,145.8386,521.0
-37.9164,145.8386,491.0
-37.749,145.8498,530.0
-37.8372,145.8498,507.0
-37.6915,145.861,432.0
-37.7887,145.861,466.0
-37.7755,145.8666,360.0
-37.9516,145.8666,490.0
-37.7313,145.8721,468.0
-37.9779,145.8721,357.0
-37.6871,145.8833,467.0
-37.9032,145.8833,417.0
-37.634,145.8889,472.0
-37.7578,145.8889,478.0
-37.956,145.8889,529.0
-37.9691,145.8889,552.0
-37.7225,145.8945,460.0
-37.7401,145.8945,490.0
-37.8944,145.9001,542.0
-37.7931,145.9057,360.0
-37.6871,145.9112,394.0
-37.7269,145.9112,446.0
-37.9428,145.9112,445.0
-37.665,145.9168,372.0
-37.7622,145.9168,377.0
-37.9691,145.9168,509.0
-37.7799,145.9224,410.0
-37.7446,145.928,335.0
-37.8372,145.928,546.0
-37.9472,145.928,380.0
-37.868,145.9447,572.0
-37.956,145.9447,550.0
-37.9076,145.9503,542.0
-37.6384,145.9559,488.0
-37.7225,145.9615,402.0
-37.8724,145.9615,565.0
-37.8284,145.9671,405.0
-37.89,145.9671,376.0
-37.9076,145.9671,388.0
-36.8324,145.995,685.0
-37.8504,145.995,553.0
-37.8724,145.995,568.0
-36.9364,146.0006,650.0
-37.8063,146.0062,376.0
-37.8944,146.0062,552.0
-37.6959,146.0229,478.0
-37.8372,146.0229,385.0
-37.7578,146.0285,459.0
-37.1614,146.0341,541.0
-37.5453,146.0397,374.0
-37.8636,146.0397,509.0
-36.8596,146.0452,668.0
-37.8063,146.0452,569.0
-37.8988,146.0508,538.0
-37.6959,146.0564,150.0
-36.9544,146.062,665.0
-37.103,146.062,543.0
-37.6827,146.062,306.0
-36.9364,146.0732,675.0
-37.8416,146.0732,427.0
-36.8867,146.0788,663.0
-36.7509,146.0843,641.0
-37.9296,146.0955,557.0
-37.8548,146.1067,349.0
-36.8867,146.1234,682.0
-36.9319,146.1346,614.0
-37.7092,146.1458,457.0
-37.8856,146.1681,546.0
-37.634,146.1793,444.0
-37.6738,146.1848,446.0
-37.7269,146.1848,391.0
-36.7464,146.1904,471.0
-36.9725,146.2016,571.0
-37.004,146.2016,581.0
-36.837,146.2072,686.0
-36.7962,146.2128,704.0
-37.2868,146.2128,547.0
-36.8641,146.2184,545.0
-36.9364,146.2184,684.0
-37.0445,146.2184,552.0
-36.7509,146.2239,690.0
-36.9635,146.2239,357.0
-37.9384,146.2239,367.0
-36.846,146.2351,656.0
-36.6692,146.2407,673.0
-36.6964,146.2463,717.0
-36.9409,146.2463,602.0
-36.9048,146.2519,671.0
-36.7146,146.2574,561.0
-36.76,146.2574,607.0
-36.9409,146.2574,666.0
-36.977,146.2574,652.0
-36.8505,146.263,611.0
-36.9544,146.263,652.0
-36.6373,146.2686,647.0
-36.6191,146.2742,725.0
-36.8912,146.2742,384.0
-36.9409,146.2742,467.0
-36.7645,146.2798,683.0
-36.6055,146.2854,693.0
-36.7282,146.2854,732.0
-37.3761,146.2854,521.0
-36.7101,146.2909,691.0
