latitude,longitude,time,risk_rating
-37.6626,145.5309891,218.1946618,0.26942798
-36.749,145.7474869,418.1276987,0.338315406
-36.745,145.7676263,381.385621,0.624765803
-36.6722,145.807905,363.2044272,0.893216286
-36.6722,145.8280443,436.5800048,0.543702582
-36.8663,145.8280443,397.9119006,0.246417283
-36.8258,145.8431488,434.7508605,0.687251552
-36.7127,145.8481836,423.9180221,0.751558295
-36.8663,145.8582533,413.1432888,0.583913039
-36.8258,145.8632881,349.7209912,0.441338348
-36.6844,145.8733578,392.9024569,0.264407922
-36.7733,145.8733578,360.9211928,0.473166861
-36.7612,145.8783926,343.8481352,0.684253715
-36.7935,145.8783926,415.1007296,0.80912941
-36.7369,145.8884623,349.4513036,0.64917429
-36.8299,145.8884623,433.397791,0.204314949
-36.8501,145.8884623,438.9129231,0.659496552
-36.8824,145.8884623,401.6103909,0.495249739
-36.6722,145.898532,379.1493474,0.816741048
-36.8056,145.898532,394.7238116,0.517874186
-36.8218,145.9136365,368.2101954,0.300724728
-36.6763,145.9186713,397.8204577,0.494816155
-36.7733,145.9237061,374.4899365,0.264301018
-36.8016,145.9237061,399.9702987,0.973987327
-36.9067,145.928741,395.0219332,0.811457371
-36.7329,145.9438455,419.3666715,0.739144018
-36.7652,145.9539151,399.0745212,0.717467014
-36.8218,145.9539151,361.0458082,0.388180898
-36.745,145.95895,352.858397,0.933592011
-36.8703,145.95895,392.008832,0.941701158
-36.8865,145.95895,431.6900317,0.88317823
-36.8339,145.9639848,436.2504385,0.8356285
-36.8582,145.9740545,413.5920162,0.392065696
-36.8339,145.9790893,360.9258832,0.792017129
-36.8258,145.9841241,360.8754474,0.3719235
-36.8784,145.989159,357.1058648,0.26435178
-36.939,145.989159,432.9195921,0.455131082
-36.7733,145.9941938,439.8181401,0.555862782
-36.7975,145.9941938,402.5002359,0.8423468
-36.8137,145.9992286,375.634611,0.640320673
-36.8339,145.9992286,413.596693,0.841776485
-36.7046,146.0092983,412.2266024,0.542424373
-36.939,146.0092983,384.4810685,0.842110383
-36.7814,146.0244028,367.6158617,0.312436097
-36.8784,146.0395073,403.2218807,0.98202211
-36.9188,146.0395073,426.8900917,0.408473408
-36.7531,146.0445422,413.1769324,0.408513595
-36.8541,146.0445422,363.3813545,0.942464316
-36.931,146.0445422,388.6319862,0.887027412
-36.8663,146.049577,399.2088987,0.987252391
-36.8865,146.049577,392.9720718,0.654269735
-36.9027,146.049577,412.7768566,0.652642286
-36.8299,146.0646815,438.3933035,0.539814061
-36.939,146.0646815,378.8077486,0.467439036
-36.8703,146.0697163,407.2835213,0.201423369
-36.7895,146.0747512,399.598681,0.417964608
-37.2139,146.0747512,391.4665175,0.624292733
-36.7571,146.0848208,433.7920277,0.54697161
-36.8097,146.0848208,376.0062762,0.224310508
-36.9229,146.0848208,405.2065491,0.500768256
-36.9471,146.0848208,436.2249453,0.508904594
-37.2261,146.0898557,356.0195896,0.477227334
-36.7288,146.0948905,433.8289276,0.297486114
-36.8461,146.0948905,363.5373251,0.839305316
-36.8784,146.0948905,396.1986501,0.270918231
-36.8299,146.1049602,388.8374431,0.311617883
-36.7369,146.109995,432.3548358,0.313631377
-36.842,146.1150298,388.6901745,0.677664874
-36.9592,146.1200647,423.2145034,0.786608407
-37.2665,146.1250995,391.3392465,0.284952657
-36.9107,146.1301343,422.8333269,0.30827567
-37.5495,146.1301343,364.0252737,0.237341029
-36.7531,146.1351692,405.573849,0.314067067
-36.741,146.140204,432.6371911,0.321548441
-37.3069,146.140204,388.543587,0.403762762
-37.5292,146.140204,242.7742026,0.633996499
-36.8905,146.1452388,400.1789342,0.874067982
-36.9633,146.1452388,351.8379996,0.740167163
-36.7531,146.1502737,438.4375529,0.409072421
-36.8663,146.1553085,373.971476,0.985729535
