latitude,longitude,time
-37.6055,145.8347,1371.0
-37.6316,145.8347,120.0
-37.8872,145.8347,159.0
-37.2382,145.8403,1351.0
-37.304,145.8403,1356.0
-37.7661,145.8403,225.0
-37.8397,145.8403,192.0
-37.8527,145.8403,44.0
-37.939,145.8403,169.0
-37.4529,145.8458,238.0
-37.6403,145.8513,137.0
-37.7228,145.8568,1284.0
-37.8354,145.8568,137.0
-37.9692,145.8568,219.0
-37.4965,145.8623,1303.0
-37.5707,145.8733,1307.0
-37.6359,145.8733,187.0
-37.8656,145.8733,1307.0
-36.8495,145.8789,392.0
-37.3785,145.8789,1364.0
-37.7964,145.8789,208.0
-37.844,145.8789,167.0
-37.9002,145.8789,214.0
-37.3873,145.8844,1325.0
-37.2558,145.8899,1329.0
-37.7358,145.8899,229.0
-37.8224,145.8899,197.0
-37.466,145.8954,1327.0
-37.4529,145.9009,1336.0
-37.6794,145.9009,144.0
-37.7748,145.9009,188.0
-37.2997,145.9064,1366.0
-37.3566,145.9064,1328.0
-37.9304,145.9064,30.0
-37.2426,145.9119,1361.0
-37.7184,145.9119,86.0
-37.7575,145.9119,6.0
-37.9433,145.9119,227.0
-37.2558,145.9175,1352.0
-37.2733,145.9175,1336.0
-37.6446,145.9175,1352.0
-37.662,145.9175,1325.0
-37.9562,145.9175,93.0
-37.675,145.923,82.0
-37.8872,145.923,194.0
-37.6229,145.9285,165.0
-37.7184,145.9285,1327.0
-37.7445,145.9285,107.0
-37.939,145.9285,177.0
-37.9519,145.9285,192.0
-37.361,145.934,1342.0
-37.6967,145.934,1344.0
-37.7098,145.934,173.0
-37.7705,145.934,1326.0
-37.8743,145.9395,10.0
-37.2777,145.945,1362.0
-37.6533,145.945,1355.0
-37.7791,145.945,146.0
-36.7784,145.9505,373.0
-37.7141,145.9505,165.0
-37.9218,145.9505,105.0
-37.6533,145.9561,111.0
-37.6707,145.9561,189.0
-37.7618,145.9561,1364.0
-37.9519,145.9561,141.0
-37.7445,145.9616,157.0
-37.7964,145.9616,1278.0
-37.304,145.9671,1341.0
-37.8224,145.9671,196.0
-37.9304,145.9671,207.0
-37.8959,145.9726,1296.0
-37.9519,145.9726,162.0
-37.7705,145.9781,1349.0
-36.7829,145.9836,384.0
-37.8527,145.9836,234.0
-37.939,145.9836,181.0
-37.8915,145.9891,226.0
-37.6272,145.9947,106.0
-37.7098,146.0002,105.0
-37.857,146.0002,238.0
-36.7473,146.0057,351.0
-37.8137,146.0057,234.0
-37.8699,146.0112,202.0
-37.8872,146.0112,93.0
-37.9993,146.0112,1278.0
-37.7445,146.0167,1355.0
-36.7428,146.0222,386.0
-37.3435,146.0222,1333.0
-37.6185,146.0278,1330.0
-36.8362,146.0333,338.0
-37.8354,146.0333,215.0
-37.857,146.0333,185.0
-37.9907,146.0333,1318.0
-36.9382,146.0388,308.0
-37.3523,146.0388,1333.0
-37.3785,146.0388,1331.0
-37.8786,146.0443,154.0
-37.7878,146.0498,73.0
-37.1986,146.0553,1343.0
-37.7271,146.0553,1325.0
-37.326,146.0608,1367.0
-37.6837,146.0608,134.0
-38.0552,146.0608,1311.0
-37.4616,146.0664,1279.0
-37.7445,146.0664,97.0
-37.8181,146.0664,187.0
-37.159,146.0719,249.0
-37.8181,146.0774,49.0
-37.8483,146.0774,243.0
-36.8584,146.0829,80.0
-37.5314,146.0829,63.0
-37.7921,146.0829,152.0
-37.8829,146.0884,198.0
-36.9559,146.0994,316.0
-37.1017,146.0994,274.0
-37.6663,146.105,116.0
-36.9338,146.1105,135.0
-37.8267,146.1105,238.0
-36.8895,146.116,297.0
-36.7562,146.1215,334.0
-37.8137,146.1215,1343.0
-37.8483,146.127,1286.0
-37.9131,146.1325,203.0
-37.6446,146.138,1336.0
-37.8397,146.1436,157.0
-37.3084,146.1491,1326.0
-37.6794,146.1491,1371.0
-37.9993,146.1546,1282.0
-36.8895,146.1601,328.0
-37.2865,146.1601,1355.0
-36.9338,146.1711,287.0
-37.396,146.1711,1327.0
-37.8527,146.1767,1301.0
-37.6967,146.1822,153.0
-37.8656,146.2042,34.0
-37.3347,146.2153,1344.0
-37.6229,146.2153,177.0
-37.662,146.2208,128.0
-37.361,146.2263,1358.0
-37.7098,146.2263,34.0
-36.7473,146.2318,211.0
-36.9736,146.2373,325.0
-37.0046,146.2373,313.0
-36.8362,146.2428,52.0
-36.8007,146.2483,371.0
-37.2821,146.2483,230.0
-36.9382,146.2539,339.0
-37.0399,146.2539,67.0
-36.7517,146.2594,147.0
-36.8628,146.2594,391.0
-37.514,146.2594,1368.0
-36.9603,146.2649,185.0
-37.4048,146.2649,1344.0
-37.9174,146.2649,244.0
-36.8495,146.2704,298.0
-36.6715,146.2759,214.0
-36.6849,146.2759,375.0
-36.7028,146.2814,345.0
-36.9426,146.2814,327.0
-36.5822,146.2869,412.0
-36.9072,146.2869,360.0
-37.1105,146.2869,1241.0
-36.7206,146.2925,352.0
-36.7651,146.2925,309.0
-36.978,146.2925,296.0
-36.8495,146.298,127.0
-36.6448,146.3035,434.0
-37.675,146.3035,1330.0
-36.6269,146.309,399.0
-37.4135,146.309,1331.0
-36.7651,146.3145,110.0
-36.885,146.3145,127.0
-36.9338,146.3145,311.0
-38.0165,146.3145,1349.0
-36.6135,146.32,414.0
-37.3654,146.32,95.0
-36.9559,146.3256,338.0
-36.8051,146.3311,357.0
-36.8451,146.3366,376.0
-37.2426,146.3366,1243.0
-37.062,146.3421,1274.0
-36.8318,146.3476,276.0
-36.9161,146.3476,59.0
-37.3917,146.3476,217.0
-36.6091,146.3586,397.0
-36.978,146.3586,148.0
-37.0311,146.3586,1250.0
-36.5599,146.3642,439.0
-36.5867,146.3642,429.0
-36.6001,146.3642,439.0
-36.9116,146.3642,330.0
-36.9471,146.3642,307.0
-36.5286,146.3697,420.0
-36.7473,146.3752,376.0
-36.774,146.3752,173.0
-36.7962,146.3752,387.0
-36.9869,146.3752,327.0
-37.0664,146.3752,223.0
-37.2074,146.3752,1278.0
-36.6715,146.3807,431.0
-36.9603,146.3807,320.0
-36.6091,146.3862,421.0
-36.9072,146.3862,391.0
-36.618,146.3917,400.0
-36.6314,146.3917,351.0
-36.6492,146.3917,274.0
-36.7873,146.3917,336.0
-36.8051,146.3917,345.0
-37.6272,146.3917,176.0
-36.7161,146.3972,366.0
-37.0708,146.3972,288.0
-36.676,146.4028,392.0
-37.0046,146.4028,1298.0
-37.159,146.4028,1348.0
-36.7562,146.4083,362.0
-36.8273,146.4083,360.0
-36.9205,146.4083,384.0
-36.9825,146.4083,1273.0
-36.7117,146.4138,328.0
-37.5881,146.4138,184.0
-37.0708,146.4193,1323.0
-36.6225,146.4248,417.0
-36.6626,146.4248,220.0
-37.3303,146.4248,12.0
-36.5017,146.4303,417.0
-36.6849,146.4303,356.0
-36.7072,146.4303,393.0
-36.7695,146.4303,391.0
-37.1326,146.4303,1318.0
-36.6715,146.4414,381.0
-36.4793,146.4469,448.0
-36.6001,146.4469,427.0
-36.6492,146.4469,402.0
-36.9161,146.4469,161.0
-36.7562,146.4524,162.0
-37.0841,146.4524,262.0
-37.5271,146.4524,228.0
-36.5241,146.4579,396.0
-36.6715,146.4579,389.0
-36.7161,146.4634,225.0
-36.9249,146.4634,261.0
-37.0311,146.4634,329.0
-36.5644,146.4689,394.0
-36.5957,146.4689,395.0
-36.978,146.4689,295.0
-36.542,146.4745,429.0
-36.7606,146.4745,332.0
-36.9028,146.4745,361.0
-36.9382,146.4745,390.0
-36.9603,146.4745,311.0
-37.1766,146.4745,1268.0
-37.2382,146.4745,1261.0
-37.4354,146.4745,119.0
-36.5286,146.48,414.0
-36.8007,146.48,277.0
-37.1326,146.48,1297.0
-37.1414,146.48,300.0
-36.4524,146.4855,427.0
-37.6794,146.4855,168.0
-36.5733,146.491,427.0
-36.6091,146.491,416.0
-37.0885,146.491,1242.0
-37.159,146.491,1311.0
-37.2821,146.491,1260.0
-37.649,146.491,169.0
-36.9161,146.4965,372.0
-36.9692,146.4965,339.0
-36.9869,146.4965,308.0
-37.1282,146.4965,1242.0
-37.247,146.4965,1290.0
-37.9174,146.4965,1310.0
-36.4793,146.502,419.0
-36.5509,146.502,437.0
-36.6537,146.502,414.0
-36.8051,146.502,66.0
-36.5286,146.5075,414.0
-37.0267,146.5075,1300.0
-37.1898,146.5075,1350.0
-37.2074,146.5075,1290.0
-37.225,146.5075,1236.0
-37.4398,146.5075,203.0
-36.5017,146.5131,320.0
-36.774,146.5131,76.0
-37.2382,146.5131,1347.0
-36.6358,146.5186,264.0
-36.6582,146.5186,433.0
-37.7791,146.5186,182.0
-37.8915,146.5186,1357.0
-36.8983,146.5241,383.0
-37.1634,146.5241,1333.0
-37.6707,146.5241,159.0
-36.6894,146.5296,309.0
-36.8184,146.5296,68.0
-36.8495,146.5296,380.0
-36.9515,146.5296,1299.0
-37.0444,146.5296,177.0
-37.1942,146.5296,1343.0
-37.575,146.5296,157.0
-36.4703,146.5351,396.0
-36.4972,146.5351,408.0
-36.7873,146.5351,1274.0
-37.0753,146.5351,324.0
-36.5286,146.5406,423.0
-36.9249,146.5406,302.0
-37.0267,146.5406,135.0
-36.9825,146.5461,266.0
-37.0885,146.5461,1313.0
-37.1766,146.5461,1350.0
-37.2074,146.5461,1270.0
-37.5663,146.5461,203.0
-36.421,146.5517,475.0
-36.6894,146.5517,252.0
-36.7384,146.5517,376.0
-36.7918,146.5517,415.0
-37.6055,146.5517,192.0
-36.6135,146.5572,110.0
-37.0885,146.5572,1272.0
-37.8267,146.5572,240.0
-36.4479,146.5627,470.0
-36.9603,146.5627,347.0
-37.0708,146.5627,306.0
-37.1194,146.5627,1267.0
-37.1634,146.5627,1327.0
-37.2206,146.5627,1363.0
-37.6794,146.5627,190.0
-36.533,146.5682,1114.0
-36.6582,146.5682,396.0
-36.7918,146.5682,102.0
-37.1017,146.5682,1251.0
-36.5017,146.5737,422.0
-36.5509,146.5737,406.0
-36.618,146.5737,320.0
-37.2074,146.5737,1348.0
-37.6707,146.5737,23.0
-36.8895,146.5792,388.0
-37.0532,146.5792,282.0
-37.2777,146.5792,1345.0
-37.9002,146.5792,223.0
-36.5196,146.5847,423.0
-36.5822,146.5847,408.0
-36.6805,146.5847,408.0
-37.2074,146.5847,1330.0
-37.3566,146.5847,330.0
-37.7271,146.5847,165.0
-36.5062,146.5903,428.0
-36.618,146.5903,269.0
-37.831,146.5903,227.0
-36.6448,146.5958,415.0
-37.7184,146.5958,185.0
-36.7962,146.6013,335.0
-37.4572,146.6013,1303.0
-37.7964,146.6013,117.0
-36.3806,146.6068,392.0
-36.5151,146.6068,403.0
-36.8406,146.6068,1293.0
-36.9161,146.6068,378.0
-37.009,146.6068,1361.0
-37.0753,146.6068,306.0
-37.1678,146.6068,1325.0
-36.4972,146.6123,394.0
-36.5822,146.6123,416.0
-36.6715,146.6123,351.0
-36.8584,146.6123,388.0
-37.8483,146.6123,69.0
-37.9562,146.6123,216.0
-36.5554,146.6178,409.0
-36.618,146.6178,214.0
-36.814,146.6178,262.0
-37.7011,146.6178,192.0
-37.0929,146.6233,341.0
-37.8915,146.6233,274.0
-37.9131,146.6233,104.0
-36.6983,146.6289,406.0
-36.9515,146.6289,1210.0
-37.6663,146.6289,162.0
-36.4748,146.6344,414.0
-36.9825,146.6344,179.0
-37.2074,146.6344,1278.0
-36.6849,146.6399,405.0
-36.7206,146.6399,309.0
-37.1282,146.6399,1284.0
-37.649,146.6399,178.0
-37.6837,146.6399,84.0
-37.9606,146.6399,75.0
-36.9515,146.6454,1193.0
-37.0885,146.6454,88.0
-37.1898,146.6454,1331.0
-37.9174,146.6454,276.0
-37.9735,146.6454,203.0
-36.3895,146.6509,413.0
-36.6001,146.6509,435.0
-37.0267,146.6509,1347.0
-37.0797,146.6509,322.0
-37.3785,146.6509,1327.0
-37.6316,146.6509,169.0
-37.6967,146.6509,84.0
-36.3716,146.6564,440.0
-36.7562,146.6564,386.0
-37.062,146.6564,325.0
-37.8872,146.6564,142.0
-36.4658,146.662,408.0
-36.4927,146.662,417.0
-36.6938,146.662,411.0
-36.8184,146.662,112.0
-36.8362,146.662,338.0
-36.978,146.662,1191.0
-36.4255,146.6675,411.0
