Strike ID,Latitude,Longitude,Spawn time (hr),Inspection time (hr),Suppression time (hr)
0,-37.6626,145.5309891,3.6365776966666665,0.4492982673813377,N/A
1,-36.749,145.7474869,6.968794978333333,1.4526267625239941,N/A
2,-36.745,145.7676263,6.356427016666666,2.0265786499444673,N/A
3,-36.6722,145.807905,6.053407119999999,3.1230650800429705,N/A
4,-36.6722,145.8280443,7.276333413333333,1.2354608941594092,N/A
5,-36.8663,145.8280443,6.63186501,1.6443343512356954,N/A
6,-36.8258,145.8431488,7.245847674999999,1.1023087709693755,N/A
7,-36.7127,145.8481836,7.065300368333333,1.3727897169400634,N/A
8,-36.8663,145.8582533,6.88572148,1.3421947843747906,N/A
9,-36.8258,145.8632881,5.828683186666667,0.835261800255808,N/A
10,-36.6844,145.8733578,6.548374281666667,1.8275761241078665,N/A
11,-36.7733,145.8733578,6.0153532133333325,0.7347429450731195,N/A
12,-36.7612,145.8783926,5.730802253333334,1.0526456872353154,N/A
13,-36.7935,145.8783926,6.918345493333334,1.2092747914249746,N/A
14,-36.7369,145.8884623,5.824188393333333,1.0094213971138137,N/A
15,-36.8299,145.8884623,7.223296516666666,1.189277277059659,N/A
16,-36.8501,145.8884623,7.315215385,1.140450222666163,N/A
17,-36.8824,145.8884623,6.693506515,1.4797565042979346,N/A
18,-36.6722,145.898532,6.31915579,2.009268691545095,N/A
19,-36.8056,145.898532,6.578730193333333,1.5058491973761798,N/A
20,-36.8218,145.9136365,6.13683659,0.4574592821768278,N/A
21,-36.6763,145.9186713,6.6303409616666675,1.6596163221735687,N/A
22,-36.7733,145.9237061,6.241498941666666,1.9571227486543972,N/A
23,-36.8016,145.9237061,6.666171645,1.374858330394336,N/A
24,-36.9067,145.928741,6.583698886666666,1.5201123146460325,N/A
25,-36.7329,145.9438455,6.989444525,1.205236738549338,N/A
26,-36.7652,145.9539151,6.65124202,1.4832201679143124,N/A
27,-36.8218,145.9539151,6.0174301366666665,0.5180193588820697,N/A
28,-36.745,145.95895,5.880973283333334,1.0439516168735068,N/A
29,-36.8703,145.95895,6.533480533333334,1.3666023684795972,N/A
30,-36.8865,145.95895,7.194833861666667,0.9941710409444082,N/A
31,-36.8339,145.9639848,7.270840641666666,0.6938172941252682,N/A
32,-36.8582,145.9740545,6.8932002699999995,0.9678448244617549,N/A
33,-36.8339,145.9790893,6.015431386666667,0.4427856768881914,N/A
34,-36.8258,145.9841241,6.01459079,0.47212817064805573,N/A
35,-36.8784,145.989159,5.951764413333334,0.43062565098446814,N/A
36,-36.939,145.989159,7.215326535,0.8814126404399566,N/A
37,-36.7733,145.9941938,7.330302335,0.6794491283867653,N/A
38,-36.7975,145.9941938,6.708337265,1.3497387147569417,N/A
39,-36.8137,145.9992286,6.26057685,1.2274930982979722,N/A
40,-36.8339,145.9992286,6.893278216666666,1.3930913264656435,N/A
41,-36.7046,146.0092983,6.870443373333333,1.6020687717325888,N/A
42,-36.939,146.0092983,6.408017808333333,1.6509971877758935,N/A
43,-36.7814,146.0244028,6.126931028333333,1.2747505373187908,N/A
44,-36.8784,146.0395073,6.7203646783333335,1.0505930572187896,N/A
45,-36.9188,146.0395073,7.114834861666667,0.8553770022036649,N/A
46,-36.7531,146.0445422,6.886282206666667,1.0477903175497896,N/A
47,-36.8541,146.0445422,6.056355908333333,1.3440250707224823,N/A
