latitude,longitude
-34.6231667,150.8610216
-34.61279945,150.3612483
-34.82314005,149.9272132
-35.00129118,148.3915732
-36.34410567,146.6467701
-36.92162273,145.7130606
-37.22574808,145.1147932
-37.38962469,145.0497928
-37.61022589,145.4449502
-38.02059499,145.509355
-38.14728572,146.4713199
-37.81918929,146.8990994
-37.7356461,147.8087422
-37.86683886,148.0402431
-37.80508545,149.3969388
-37.55343797,149.9511275
-37.09472572,150.0434066
-36.52859505,150.0790448
-36.00339801,150.1838561
-35.39570042,150.4651892
-35.18166263,150.6644332
-35.05659693,150.8543959
