latitude,longitude,starting at base,initial fuel
-35.132,148.79,t,1
-35.395,148.73,t,1
-35.387,149.28,t,1
-35.624,149.16,t,1
-35.863,148.84,t,1
-35.64,148.65,t,1
-35.859,149.26,t,1
-35.7,148.9,t,1
-35.2,149.1,t,1
-35.5,149,t,1
