latitude,longitude,time,risk_rating
-35.3056,148.818,3:03,0.99586445
-35.1946,148.951,3:03,0.996754463
-35.1483,148.956,3:03,0.996787923
-35.2038,148.978,3:03,0.996935143
-35.7281,149.105,3:03,0.997785005
-35.8467,149.122,3:04,0.997898766
-35.8057,149.37,3:04,0.999558339
-35.6732,148.763,3:05,0.9954964
-35.5862,148.928,3:05,0.996600551
-35.1622,148.995,3:06,0.997048904
-35.1992,149.006,3:07,0.997122514
-35.6183,149.066,3:07,0.997524024
-35.6915,148.603,3:08,0.994425707
-35.1483,148.752,3:08,0.99542279
-35.6458,148.829,3:08,0.99593806
-35.8285,148.934,3:09,0.996640702
-35.7372,149.127,3:09,0.997932225
-35.3332,149.155,3:09,0.998119596
-35.1204,148.603,3:10,0.994425707
-35.7372,148.995,3:10,0.997048904
-35.833,148.642,3:11,0.994686689
-35.324,148.84,3:11,0.996011671
-35.6503,148.895,3:11,0.996379721
-35.632,148.714,3:12,0.9951685
-35.1668,149.044,3:12,0.997376803
-35.5495,149.05,3:12,0.997416954
-35.8968,148.741,3:14,0.99534918
-35.2409,148.835,3:14,0.995978211
-35.6366,148.873,3:14,0.996232501
-35.687,148.829,3:15,0.99593806
-35.4944,148.807,3:16,0.99579084
-35.1483,149.006,3:16,0.997122514
-35.1946,149.066,3:16,0.997524024
-35.6549,148.741,3:17,0.99534918
-35.632,148.791,3:18,0.995683771
-35.1992,149.177,3:20,0.998266817
-35.4254,148.675,3:21,0.994907519
-35.4438,148.647,3:23,0.994720148
-35.9013,148.791,3:25,0.995683771
-35.874,148.802,3:25,0.995757381
-35.6091,148.603,3:27,0.994425707
-35.1344,148.609,3:27,0.994465858
-35.5954,148.653,3:27,0.994760299
-35.2131,148.747,3:30,0.995389331
-35.8513,148.873,3:30,0.996232501
-35.8011,148.647,3:32,0.994720148
-35.8831,148.862,3:34,0.996158891
-35.5495,148.642,3:35,0.994686689
-35.6,148.631,3:36,0.994613079
-35.2963,148.62,3:41,0.994539468
-35.9286,148.807,3:42,0.99579084
-35.4944,148.625,3:43,0.994572928
-35.2131,148.719,3:43,0.995201959
-35.1529,148.62,3:44,0.994539468
-35.8011,148.609,3:45,0.994465858
-35.2085,148.791,3:45,0.995683771
-35.1483,148.68,3:46,0.994940978
-35.2085,149.138,3:51,0.998005835
-35.19,148.741,3:54,0.99534918
-35.227,149.182,3:56,0.998300276
-35.1622,148.653,3:58,0.994760299
-35.6412,148.73,4:01,0.995275569
-35.8558,148.84,4:01,0.996011671
-35.4208,148.636,4:04,0.994646538
-35.6549,148.879,4:35,0.996272652
-35.5725,148.802,5:17,0.995757381
-35.577,148.928,15:36,0.996600551
-35.1807,149.177,15:46,0.998266817
-35.1853,149.193,16:03,0.998373886
-35.9377,148.813,16:11,0.995830991
-35.3932,148.84,16:14,0.996011671
-35.3379,148.658,16:22,0.994793758
-35.5679,148.818,16:25,0.99586445
-35.2825,149,16:26,0.997082363
-35.3056,148.928,16:28,0.996600551
-35.19,149.259,16:28,0.998815546
-35.5816,148.835,16:29,0.995978211
-35.3563,148.642,16:30,0.994686689
-35.7464,148.824,16:30,0.995904601
-35.2732,149.303,16:32,0.999109987
-35.6137,148.884,16:33,0.996306111
-35.5633,148.884,16:36,0.996306111
-35.6687,148.829,16:37,0.99593806
-35.8649,148.675,16:38,0.994907519
-35.2131,148.835,16:38,0.995978211
-35.5495,148.895,16:40,0.996379721
-35.7327,148.862,16:45,0.996158891
-35.2825,148.945,16:45,0.996714312
-35.4116,148.658,16:47,0.994793758
-35.2686,148.818,16:48,0.99586445
-35.5954,148.835,16:48,0.995978211
-35.5403,148.868,16:48,0.996199042
-35.3563,148.873,16:49,0.996232501
-35.5128,148.873,16:53,0.996232501
-35.8467,148.636,16:55,0.994646538
-35.6183,148.901,16:55,0.996419872
-35.2871,148.928,17:00,0.996600551
-35.1946,149.298,17:00,0.999076528
-35.5679,148.857,17:01,0.996125432
-35.3747,148.653,17:02,0.994760299
-35.8513,148.653,17:05,0.994760299
-35.4852,148.785,17:11,0.99564362
-35.2362,148.609,17:12,0.994465858
-35.5495,148.78,17:13,0.995610161
-35.5266,148.846,17:13,0.996051822
-35.3794,148.714,17:15,0.9951685
-35.5357,148.763,17:16,0.9954964
-35.1992,148.697,17:17,0.995054739
-35.5266,148.884,17:17,0.996306111
-35.499,148.846,17:19,0.996051822
-35.5541,148.763,17:20,0.9954964
-35.2177,148.664,17:21,0.994833909
-35.5357,148.835,17:26,0.995978211
-35.4714,148.846,17:26,0.996051822
-35.5082,148.609,17:30,0.994465858
-35.4898,148.857,17:36,0.996125432
-35.1807,148.675,17:39,0.994907519
-35.2316,148.725,17:40,0.99524211
-35.522,148.901,17:40,0.996419872
-35.5403,148.785,17:42,0.99564362
-35.1714,148.636,17:46,0.994646538
-35.6137,148.78,17:47,0.995610161
-35.476,148.873,17:49,0.996232501
-35.2362,148.769,17:55,0.995536551
-35.3471,148.68,17:56,0.994940978
-35.3286,148.642,18:01,0.994686689
-35.4622,148.813,18:04,0.995830991
-35.5449,148.807,18:09,0.99579084
-35.4668,148.796,18:12,0.99571723
-35.1158,148.587,18:15,0.994318638
-35.453,148.691,18:21,0.995014588
-35.1251,148.625,18:28,0.994572928
-35.4806,148.763,18:29,0.9954964
-35.1946,148.587,18:39,0.994318638
-35.4162,148.725,18:39,0.99524211
-35.3886,148.686,18:41,0.994981129
-35.4162,148.747,18:48,0.995389331
-35.3425,148.603,18:51,0.994425707
-35.5036,148.636,18:52,0.994646538
-35.4484,148.664,18:54,0.994833909
-35.4898,148.708,18:55,0.995128349
-35.5128,148.669,18:57,0.994867368
-35.4438,148.785,19:08,0.99564362
-35.2963,148.802,19:08,0.995757381
-35.6275,148.631,19:12,0.994613079
-35.4254,148.714,19:20,0.9951685
-35.3701,148.725,19:20,0.99524211
-35.1853,148.614,19:21,0.994499317
-35.4116,148.686,19:25,0.994981129
-35.4714,148.631,19:28,0.994613079
-35.4346,148.725,19:29,0.99524211
-35.1714,148.614,19:44,0.994499317
-35.1946,148.818,19:44,0.99586445
-35.3102,148.846,19:44,0.996051822
-35.3286,148.702,19:47,0.995088198
-35.3701,148.846,19:49,0.996051822
-35.2686,148.714,19:51,0.9951685
-35.3194,148.774,19:53,0.99557001
-35.2362,148.917,19:55,0.996526941
-35.2455,148.873,19:56,0.996232501
-35.2871,148.736,19:58,0.99531572
-35.2409,148.884,20:06,0.996306111
-35.2501,148.647,20:07,0.994720148
-35.2594,148.598,20:15,0.994392248
-35.2547,148.625,20:16,0.994572928
-35.3886,148.752,20:21,0.99542279
-35.2177,148.631,20:23,0.994613079
-35.1436,148.642,20:42,0.994686689
-35.6366,149.182,21:58,0.998300276
