Strike ID,Latitude,Longitude,Spawn time (hr),Inspection time (hr),Suppression time (hr)
0,-37.6626,145.5309891,3.6365776966666665,1.693710923631392,N/A
1,-36.749,145.7474869,6.968794978333333,1.6203508462654443,N/A
2,-36.745,145.7676263,6.356427016666666,2.1943027336859178,N/A
3,-36.6722,145.807905,6.053407119999999,1.1826442814327816,N/A
4,-36.6722,145.8280443,7.276333413333333,1.0895838566380098,N/A
5,-36.8663,145.8280443,6.63186501,1.872195129339722,N/A
6,-36.8258,145.8431488,7.245847674999999,1.29723902761295,N/A
7,-36.7127,145.8481836,7.065300368333333,1.3743211238573552,N/A
8,-36.8663,145.8582533,6.88572148,1.5700555624788173,N/A
9,-36.8258,145.8632881,5.828683186666667,1.1865602124255414,N/A
10,-36.6844,145.8733578,6.548374281666667,1.7507278634597283,N/A
11,-36.7733,145.8733578,6.0153532133333325,1.086041357242853,N/A
12,-36.7612,145.8783926,5.730802253333334,1.4085760276202686,N/A
13,-36.7935,145.8783926,6.918345493333334,1.5883032988136863,N/A
14,-36.7369,145.8884623,5.824188393333333,1.3440531360944896,N/A
15,-36.8299,145.8884623,7.223296516666666,1.2553728381893334,1.382642150758051
16,-36.8501,145.8884623,7.315215385,1.0560241692571404,N/A
17,-36.8824,145.8884623,6.693506515,1.7366537780487388,N/A
18,-36.6722,145.898532,6.31915579,1.9324204308969568,N/A
19,-36.8056,145.898532,6.578730193333333,1.8848777047648915,2.0562526944320934
20,-36.8218,145.9136365,6.13683659,1.1252231904288035,N/A
21,-36.6763,145.9186713,6.6303409616666675,1.5827680615254303,N/A
22,-36.7733,145.9237061,6.241498941666666,2.478936148190068,N/A
23,-36.8016,145.9237061,6.666171645,1.7538868377830477,N/A
24,-36.9067,145.928741,6.583698886666666,1.9521002853704017,N/A
25,-36.7329,145.9438455,6.989444525,1.1283884779011997,N/A
26,-36.7652,145.9539151,6.65124202,1.6949728611666766,N/A
27,-36.8218,145.9539151,6.0174301366666665,0.8861004237278374,1.945930927555729
28,-36.745,145.95895,5.880973283333334,1.1535797201290967,N/A
29,-36.8703,145.95895,6.533480533333334,1.8001146404258754,N/A
30,-36.8865,145.95895,7.194833861666667,1.0719357573506467,1.3558088598649203
31,-36.8339,145.9639848,7.270840641666666,1.1261725629236854,N/A
32,-36.8582,145.9740545,6.8932002699999995,1.4013570964080333,N/A
33,-36.8339,145.9790893,6.015431386666667,0.810866741733959,N/A
34,-36.8258,145.9841241,6.01459079,0.8402092354938233,N/A
35,-36.8784,145.989159,5.951764413333334,0.7987067158302358,N/A
36,-36.939,145.989159,7.215326535,1.007802693010804,N/A
37,-36.7733,145.9941938,7.330302335,0.9984782128623616,N/A
38,-36.7975,145.9941938,6.708337265,1.5614914080093059,N/A
39,-36.8137,145.9992286,6.26057685,0.8945554281690127,N/A
40,-36.8339,145.9992286,6.893278216666666,1.3433202402425184,N/A
41,-36.7046,146.0092983,6.870443373333333,1.1527406086784604,N/A
42,-36.939,146.0092983,6.408017808333333,0.9280421389085657,N/A
43,-36.7814,146.0244028,6.126931028333333,1.2373291671338655,N/A
44,-36.8784,146.0395073,6.7203646783333335,1.3812857962879954,N/A
45,-36.9188,146.0395073,7.114834861666667,0.9978992604123464,N/A
46,-36.7531,146.0445422,6.886282206666667,1.0468122095624433,N/A
47,-36.8541,146.0445422,6.056355908333333,1.220655569808423,N/A
48,-36.931,146.0445422,6.4771997699999995,0.9336106507430678,1.4061263831856397
49,-36.8663,146.049577,6.653481645,1.4124862610683957,N/A
50,-36.8865,146.049577,6.54953453,1.5837258447136477,N/A
51,-36.9027,146.049577,6.879614276666667,1.2733349756055485,N/A
52,-36.8299,146.0646815,7.306555058333333,0.9009939890914241,N/A
53,-36.939,146.0646815,6.3134624766666665,0.9480225140898437,N/A
54,-36.8703,146.0697163,6.788058688333334,1.2395256793520053,N/A
55,-36.7895,146.0747512,6.659978016666666,1.508146738814221,N/A
56,-37.2139,146.0747512,6.524441958333333,0.8483090349019645,N/A
57,-36.7571,146.0848208,7.229867128333333,0.6440211180625284,N/A
58,-36.8097,146.0848208,6.2667712700000004,1.007498467069845,N/A
59,-36.9229,146.0848208,6.753442485,1.294931659971067,N/A
60,-36.9471,146.0848208,7.270415754999999,0.8354690785648624,N/A
61,-37.2261,146.0898557,5.933659826666666,0.3333005561932724,N/A
62,-36.7288,146.0948905,7.230482126666667,0.5882426030952936,N/A
63,-36.8461,146.0948905,6.0589554183333325,1.0576539763343449,N/A
64,-36.8784,146.0948905,6.603310835,0.8800546961071349,N/A
65,-36.8299,146.1049602,6.480624051666666,0.8837870899829724,N/A
66,-36.7369,146.109995,7.20591393,0.5770902106222234,N/A
67,-36.842,146.1150298,6.478169575000001,0.7266503219958041,N/A
68,-36.9592,146.1200647,7.053575056666666,0.2534164632303944,N/A
69,-37.2665,146.1250995,6.522320775000001,0.7472519764451712,N/A
70,-36.9107,146.1301343,7.047222115,0.9344769996371168,N/A
71,-37.5495,146.1301343,6.067087895,0.8641386740147674,N/A
72,-36.7531,146.1351692,6.759564149999999,1.3126741969202955,N/A
73,-36.741,146.140204,7.210619851666667,0.523597596248998,1.0589243511106543
74,-37.3069,146.140204,6.47572645,0.6452838601261172,1.459381497564976
75,-37.5292,146.140204,4.04623671,0.7736683438444268,N/A
76,-36.8905,146.1452388,6.669648903333333,0.7420418277729934,N/A
77,-36.9633,146.1452388,5.863966659999999,0.8741640419667712,N/A
78,-36.7531,146.1502737,7.307292548333334,0.3912327603872513,N/A
79,-36.8663,146.1553085,6.232857933333333,0.9104574022762901,N/A
80,-37.5373,146.1603433,6.162923046666666,0.7314603040447886,N/A
81,-36.8016,146.1653782,7.061394941666666,1.0177201264402316,1.1606056727187044
82,-36.9512,146.1653782,7.342025405,0.5584681802087804,N/A
83,-37.2463,146.1653782,6.380693721666667,0.5501253497608094,N/A
84,-36.741,146.170413,7.279242845,0.3762300924602318,N/A
85,-37.4767,146.170413,6.989949755,0.05618077367790344,N/A
86,-37.2341,146.1754478,5.155504626666667,0.1391023665033582,N/A
