latitude,longitude,start time,finish time,attraction constant,attraction power,automatic
-37.421018009478665,149.4424824421801,0.0031968644499999997,0.50319686445,10000,-2,True
-37.346657664233575,149.52552349927007,0.50319686445,1.00319686445,10000,-2,True
-37.03658311688311,148.5868064,0.50319686445,1.00319686445,10000,-2,True
-37.16985342465753,149.59313456027394,1.00319686445,1.5031968644500002,10000,-2,True
-36.904312820512814,148.40729939358974,1.00319686445,1.5031968644500002,10000,-2,True
-37.53306481481482,147.6965271425926,1.50319686445,2.00319686445,10000,-2,True
-36.94181428571429,149.53209976,1.50319686445,2.00319686445,10000,-2,True
-36.90518837209302,148.3582240209302,1.50319686445,2.00319686445,10000,-2,True
-37.3996238095238,147.37973218571426,2.00319686445,2.50319686445,10000,-2,True
-37.682853124999994,148.08302057812503,2.50319686445,3.00319686445,10000,-2,True
-37.16854838709678,147.2410461,2.50319686445,3.00319686445,10000,-2,True
-37.633084313725476,146.89898310980394,3.00319686445,3.50319686445,10000,-2,True
-37.77702592592592,148.22910069999998,3.00319686445,3.50319686445,10000,-2,True
-37.018029729729726,146.8832502445946,3.00319686445,3.50319686445,10000,-2,True
-37.56600849056602,147.77310517169806,3.50319686445,4.0031968644500004,10000,-2,True
-37.14900447761194,146.64240990746265,3.50319686445,4.0031968644500004,10000,-2,True
-37.56823298969071,147.78459636649495,4.0031968644500004,4.5031968644500004,10000,-2,True
-37.264603571428566,146.70653291785717,4.0031968644500004,4.5031968644500004,10000,-2,True
-37.408398314606714,147.2392686662921,4.5031968644500004,5.0031968644500004,10000,-2,True
-37.1298231707317,147.14898211951225,5.0031968644500004,5.5031968644500004,10000,-2,True
-37.10878743718595,146.51260461356793,5.5031968644500004,6.0031968644500004,10000,-2,True
-37.042891978609624,146.41663523315512,6.0031968644500004,6.5031968644500004,10000,-2,True
-37.32446285714284,149.40968136571428,6.0031968644500004,6.5031968644500004,10000,-2,True
-36.38140294117646,147.82628106764707,6.0031968644500004,6.5031968644500004,10000,-2,True
-36.8591137614679,146.19498668990823,6.5031968644500004,7.0031968644500004,10000,-2,True
-37.36008181818181,149.37714457878783,6.5031968644500004,7.0031968644500004,10000,-2,True
-36.28146,147.73372897333329,6.5031968644500004,7.0031968644500004,10000,-2,True
-36.8204,146.22692644897958,7.0031968644500004,7.5031968644500004,10000,-2,True
-36.75548653846153,149.80575681923074,9.503196864449999,10.003196864449999,10000,-2,True
-36.675515624999996,149.70935064218745,10.003196864449999,10.503196864449999,10000,-2,True
-36.14988214285715,148.241887575,10.003196864449999,10.503196864449999,10000,-2,True
-36.567550877192986,149.57139922631578,10.503196864449999,11.003196864449999,10000,-2,True
-36.1117,148.1983459073171,10.503196864449999,11.003196864449999,10000,-2,True
-36.48114807692308,149.47345777115385,11.003196864449999,11.503196864449999,10000,-2,True
-35.960437662337654,147.970660412987,11.003196864449999,11.503196864449999,10000,-2,True
-35.94964848484849,148.03569187272728,11.503196864449999,12.003196864449999,10000,-2,True
-36.25976666666666,149.13651763500005,11.503196864449999,12.003196864449999,10000,-2,True
-36.84191951219512,149.71640977560975,12.003196864449999,12.503196864449999,10000,-2,True
-36.091483098591546,148.84873196056338,12.003196864449999,12.503196864449999,10000,-2,True
-36.42616842105263,149.48876610789475,12.003196864449999,12.503196864449999,10000,-2,True
-35.886815053763456,147.96654944946235,12.003196864449999,12.503196864449999,10000,-2,True
-36.24497659574468,149.54980432127655,12.503196864449999,13.003196864449999,10000,-2,True
-35.8231681818182,147.91887354886364,12.503196864449999,13.003196864449999,10000,-2,True
-36.01904050632911,148.73633012531644,12.503196864449999,13.003196864449999,10000,-2,True
-36.21667455621305,149.54726725325446,13.003196864449999,13.503196864449999,10000,-2,True
-35.84831279069768,148.2229274918605,13.003196864449999,13.503196864449999,10000,-2,True
-35.85160555555555,148.27189678333332,13.503196864449999,14.003196864449999,10000,-2,True
-35.99714843049329,149.37179980538127,13.503196864449999,14.003196864449999,10000,-2,True
-35.91789130434783,149.2522057271739,14.003196864449999,14.503196864449999,10000,-2,True
-35.73143960784317,149.08724044156853,14.503196864449999,15.003196864449999,10000,-2,True
-35.54825092592594,148.94365086666653,15.003196864449999,15.503196864449999,10000,-2,True
-35.36061413043478,148.82935263532602,15.503196864449999,16.00319686445,10000,-2,True
-35.29869453125002,148.77861437499993,16.00319686445,16.50319686445,10000,-2,True
-35.21288750000001,148.65366508035711,16.50319686445,17.00319686445,10000,-2,True
-36.114615625000006,149.95865359687502,17.50319686445,18.00319686445,10000,-2,True
-36.027340860215055,149.9026867473118,18.00319686445,18.50319686445,10000,-2,True
-35.95100866141733,149.8685977094489,18.50319686445,19.00319686445,10000,-2,True
-35.87134296874999,149.90913128671878,19.00319686445,19.50319686445,10000,-2,True
-35.80432480000001,149.99386597120008,19.50319686445,20.00319686445,10000,-2,True
-35.67577333333333,150.0621479066667,20.00319686445,20.50319686445,10000,-2,True
-35.45284831460674,150.1606604000001,20.50319686445,21.00319686445,10000,-2,True
-35.16990714285713,150.40009315714278,21.00319686445,21.50319686445,10000,-2,True
-35.10648589743589,150.38650556025635,21.50319686445,22.00319686445,10000,-2,True
-36.22351481481482,149.9750692592593,22.00319686445,22.50319686445,10000,-2,True
-35.05952222222222,150.338820471605,22.00319686445,22.50319686445,10000,-2,True
-35.04751136363637,150.34680783409092,22.50319686445,23.00319686445,10000,-2,True
